Pan.ID,colony_id,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
58,ACR-423,Sym,SEPTEMBER,1.1412,1.1552,1.1478
22,ACR-424,Sym,SEPTEMBER,1.1518,1.1607,1.1567
4,ACR-425,Sym,SEPTEMBER,1.1335,1.1423,1.1387
37,ACR-426,Sym,SEPTEMBER,1.1463,1.1565,1.1513
70,ACR-427,Sym,SEPTEMBER,1.1243,1.1351,1.1293
8,ACR-428,Sym,SEPTEMBER,1.1273,1.1394,1.1334
28,ACR-429,Sym,SEPTEMBER,1.131,1.148,1.1383
54,ACR-430,Sym,SEPTEMBER,1.1418,1.1545,1.1467
35,ACR-431,Sym,SEPTEMBER,1.1329,1.1511,1.1458
78,ACR-432,Sym,SEPTEMBER,1.1301,1.1454,1.136
84,ACR-433,Sym,SEPTEMBER,1.1347,1.1487,1.1422
43,ACR-434,Sym,SEPTEMBER,1.1299,1.1912,1.1817
14,ACR-435,Sym,SEPTEMBER,1.1652,1.1781,1.173
1,ACR-436,Sym,SEPTEMBER,1.1426,1.1566,1.1492
16,ACR-437,Sym,SEPTEMBER,1.1544,1.1673,1.1617
15,ACR-438,Sym,SEPTEMBER,1.1575,1.1734,1.1643
44,ACR-439,Sym,SEPTEMBER,1.1446,1.2035,1.1962
36,ACR-446,Sym,SEPTEMBER,1.13,1.1439,1.1368
47,ACR-447,Sym,SEPTEMBER,1.135,1.1465,1.1402
12,ACR-448,Sym,SEPTEMBER,1.1572,1.1685,1.1625
56,ACR-449,Sym,SEPTEMBER,1.1431,1.1555,1.1483
2,ACR-451,Sym,SEPTEMBER,1.142,1.1543,1.1474
31,ACR-456,Sym,SEPTEMBER,1.1394,1.1556,1.147
77,ACR-457,Sym,SEPTEMBER,1.1324,1.1479,1.1385
45,ACR-458,Sym,SEPTEMBER,1.1378,1.1509,1.1433
69,ACR-459,Sym,SEPTEMBER,1.1319,1.1403,1.1366
25,ACR-460,Sym,SEPTEMBER,1.1214,1.1332,1.1266
75,ACR-461,Sym,SEPTEMBER,1.1375,1.1479,1.1422
3,ACR-462,Sym,SEPTEMBER,1.136,1.147,1.1424
72,ACR-463,Sym,SEPTEMBER,1.1297,1.1393,1.1354
53,ACR-464,Sym,SEPTEMBER,1.1308,1.142,1.1365
63,ACR-465,Sym,SEPTEMBER,1.1257,1.1342,1.1313
