colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint,host_prot_ug.cm2,holobiont_prot_ug.cm2,surface.area.cm2,cells.cm2,Host_AFDW.mg.cm2,Sym_AFDW.mg.cm2,Host_DW.mg.cm2,Sym_DW.mg.cm2,code,holobiont_mgprot,host_mgprot,host_mgafdw,sym_mgafdw,cells,cells.holobiont.mgprot,chla.ug.holobiont.mgprot,chlc2.ug.holobiont.mgprot,holobiont_prot_mg.cm2,host_prot_mg.cm2,chla.ug.cell,chlc2.ug.cell,Total_Chl_cm2
ACR-426,1.3197038593467338,0.2822103982932971,APRIL,305.26562123252154,469.5368064861595,21.724217240317103,405691.64061649237,1.188535344,0.447795191,18.63910656,8.992452885,ACR-426 - APRIL,10.200319586430062,6.631656671655655,25.820000010851018,9.72800000845329,8813333.333333334,864025.215941087,2.8106504987817913,0.6010399917426191,0.4695368064861595,0.30526562123252154,3.2529727685325257e-6,6.956278366111952e-7,1.601914257640031
ACR-427,0.9098093550290018,0.18727904792810765,APRIL,416.2887283613662,606.1426725912941,11.762194032754852,533134.6614305618,0.557931622,0.38045623,57.5592018,43.98881693,ACR-427 - APRIL,7.129567726551397,4.896468796635167,6.562499994973636,4.474999998230408,6270833.333333332,879553.0912736784,1.5009821881365253,0.30896859171369534,0.6061426725912941,0.4162887283613662,1.706528239202658e-6,3.5127906976744157e-7,1.0970884029571095
ACR-428,1.7006672272196521,0.2784203988548937,APRIL,572.6233746281869,517.6534450759758,10.155416096051264,790382.8450503057,1.769745309,0.679637342,32.92430333,14.56917162,ACR-428 - APRIL,5.256986128300953,5.8152286356742815,17.972499996929816,6.902000002424298,8026666.666666666,1526857.1137091564,3.2853393392756147,0.5378509531874748,0.5176534450759758,0.5726233746281869,2.151700581395348e-6,3.5226017441860474e-7,1.9790876260745458
ACR-429,2.086473117128789,0.4628816069148135,APRIL,603.1874801594984,874.1355823494905,14.333038731480599,532336.5228366911,2.566099254,0.850622135,50.61801713,32.77741788,ACR-429 - APRIL,12.529019158380596,8.645509515470275,36.77999999640547,12.192000006809717,7630000,608986.2185976731,2.3868987366019274,0.5295306772327998,0.8741355823494905,0.6031874801594984,3.919462647444298e-6,8.695281782437745e-7,2.5493547240436025
ACR-430,3.1550103483759826,0.5054814713758375,APRIL,658.9448472459533,1122.6518826394088,21.40286165297639,1623614.6625359086,2.817380263,1.86283501,50.63808838,33.96041201,ACR-430 - APRIL,24.027962928584756,14.103305402546798,60.29999999281524,39.87000000135089,34750000,1446231.6303418223,2.81031938498905,0.4502566460650528,1.1226518826394087,0.6589448472459533,1.9432014388489208e-6,3.1133093525179846e-7,3.66049181975182
ACR-431,3.144361479826638,0.678344814031708,APRIL,914.2962537051764,1349.9450110242651,22.0455728276578,1293154.5737640134,2.641403354,0.96051031,105.1933995,64.78511632,ACR-431 - APRIL,29.760311053868747,20.156184647112156,58.231250007826574,21.17499999082117,28508333.333333336,957931.2958702205,2.3292515281351105,0.5024981080651698,1.349945011024265,0.9142962537051763,2.431543408360128e-6,5.245659163987139e-7,3.822706293858346
ACR-433,1.0189495303373441,0.26287832159778074,APRIL,502.0632335402323,2.0343877911673713,14.975749906162035,393970.25437586545,0.582274681,0.646378316,22.57382783,13.64753026,ACR-433 - APRIL,0.03046648277267195,7.518773422577542,8.719999999346278,9.680000005182173,5900000,193655435.84480402,500.86297939914937,129.21741014132613,0.0020343877911673715,0.5020632335402323,2.5863615819209033e-6,6.672542372881353e-7,1.281827851935125
ACR-434,0.5798194489313718,0.17230814692856278,APRIL,425.189597017801,388.009705683691,8.548638159347677,480388.40691556834,0.503004095,0.235827036,32.75258524,23.49356661,ACR-434 - APRIL,3.316954576204862,3.634792014024035,4.300000000825144,2.0159999989554582,4106666.666666667,1238083.480590007,1.4943426425627762,0.44408205363045716,0.388009705683691,0.425189597017801,1.2069805194805195e-6,3.5868506493506437e-7,0.7521275958599346
ACR-435,2.682109153634225,0.49139713778719024,APRIL,711.9014668849431,1159.4839117520037,30.400818098516453,963378.679649059,2.499727137,1.005071637,56.4752894,32.50044117,ACR-435 - APRIL,35.24925948932896,21.64238699883619,75.99374998786232,30.555000012415157,29287499.999999996,830868.5182128784,2.313192211163589,0.4238067754167276,1.1594839117520037,0.7119014668849432,2.7840653008962867e-6,5.100768245838668e-7,3.173506291421415
ACR-436,1.1325646842104342,0.19603452377282543,APRIL,735.4461316492107,1019.9095633617437,8.869993746688392,514656.50713726156,4.148255461,0.84329259,67.7697772,43.99845266,ACR-436 - APRIL,9.046591449206355,6.523402588754667,36.79499999873597,7.479999999928658,4565000,504609.943494296,1.1104559903109112,0.1922077513683392,1.0199095633617437,0.7354461316492107,2.200622489959839e-6,3.80903614457831e-7,1.3285992079832596
